english_title,japanese_title,producer,serial,date,category
Prince Of Persia,プリンス オブ ペルシャ,メサイヤ（日本コンピューターシステム） / ブロダーバンド / Masiya (NCS) / Broderbund / Arsys,SHVC-PR / SNS-PR,1992-07-03 / 1992-11-01,Action / Beat 'em Up
Yuuyu no Quiz de Go! Go!,ゆうゆのクイズでGo!Go!,タイトー / Taito,SHVC-UU,1992-07-10,Quiz
Hokuto no Ken 5 - Tenma Ryuuseiden Ai Zetsu Shou,北斗の拳5 天魔流星伝 哀・絶章,東映動画 / ショウエイシステム / Toei Animation / Shouei System,SHVC-K5,1992-07-10,RPG / Turn Based
Mario Paint (With Mouse),マリオペイント (マウス付),任天堂 / インテリジェントシステムズ / Nintendo / Intelligent Systems,SHVC-MSA-(SHVC-MP),1992-07-14,Etc / Art
Aguri Suzuki no F-1 Super Driving,鈴木亜久里のF-1スーパードライビング,ロジーク（ジー・アミューズメンツ） / LOZC G. Amusements / A. Company,SHVC-GF,1992-07-17,Sports / Formula Racing (競馬)
Dino Wars - Kyouryuu Oukoku heno Daibouken,ダイナウォーズ 恐竜王国への大冒険,アイレム / IREM,SHVC-DW,1992-07-17,Action / Side Scrolling
Captain Tsubasa III - Koutei no Chousen,キャプテン翼III —皇帝の挑戦—,テクモ / Tecmo,SHVC-C3,1992-07-17,Sports / Soccer
Hook,フック,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / 浮世亭 / Epic Sony Records (Sony Music Entertainment) / Ukiyotei,SHVC-HO-(ESPG46) / SNS-HO,1992-07-17 / 1992-01-01,Action / Side Scrolling
Pachinko Wars,パチンコウォーズ,ココナッツ・ジャパン / エルステッド / Coconuts Japan / Orested,SHVC-PC,1992-07-17,Gambling / Pachinko
Sandra no Daibouken - Valkyrie Tono Deai,サンドラの大冒険 ワルキューレとの出逢い,ナムコ / Namcot,SHVC-SH,1992-07-23,Action / Side Scrolling
Teenage Mutant Ninja Turtles - Turtles In Time,ティーンエージ ミュータント ニンジャ タートルズ／タートルズ イン タイム,コナミ / Konami,SHVC-TM,1992-07-24,Action / Beat 'em Up
Earth Light: Anime-tic Space War Game,アースライト,ハドソン / Hudson,SHVC-H3,1992-07-24,Strategy
Syvalion,サイバリオン,東芝EMI / タイトー / Toshiba EMI / Taito,SHVC-SY-(TOPN-2002),1992-07-24,Shooter
BlaZeon,ブレイゾン,アトラス / Atlus,SHVC-BL / SNS-BL,1992-07-24 / 1992-10-01,Shooter / Horizontal
Ultimate Football - Try Formation!,ウルティメイト フットボール,サミー / Sammy / Aicom,SHVC-UF,1992-07-24,Sports / Football
Super F1 Circus,スーパーエフワン サーカス,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-FC,1992-07-24,Sports / Formula Racing (競馬)
3x3 Eyes - Sazanaizu Seima Kourinden,3x3 EYES サザンアイズ（三只眼）聖魔降臨伝,"バンダイ, ユタカ / Bandai, Yutaka",SHVC-33,1992-07-28,RPG
King of The Monsters,キング・オブ・ザ・モンスターズ,タカラ / タカラ アミューズメント / エス・エヌ・ケイ / Takara / Takara Amusement / SNK,SHVC-KM / SNS-KM,1992-07-31 / 1992-01-01,Fighting / Hand To Hand
Honoo no Doukyuuji - Dodge Danpei,炎の闘球児 ドッジ弾平,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-DD,1992-07-31,Sports / Dodgeball
Hiryuu no Ken S - Golden Fighter,ゴールデンファイター飛龍の拳S,カルチャーブレーン / Culture Brain,SHVC-HK,1992-07-31,Action / Beat 'em Up
Kikou Keisatsu Metal Jack,アーマードポリス 機甲警察メタルジャック,アトラス / Atlus,SHVC-MJ,1992-07-31,Action / Platformer
Super Dai Koukai Jidai,スーパー大航海時代,光栄 / Koei,SHVC-QK,1992-08-05,Strategy
Super Momotarou Dentetsu 2,スーパー桃太郎電鉄II,ハドソン / Hudson,SHVC-H4,1992-08-07,Table Game
Super Pang,スーパーパン,"カプコン, ステイタス / Capcom",SHVC-SN,1992-08-07,Action
Super Professional Baseball 2,スーパープロフェッショナルベースボールII,ジャレコ / Jaleco / Argonaut,SHVC-PB,1992-08-07,Sports / Baseball
Spindizzy Worlds,スピンディジーワールド,アスキー / アクティビジョン / ASCII / Activision,SHVC-SX / SNS-SX,1992-08-07 / 1993-03-01,Action
Phalanx - The Enforce Fighter A-144,ファランクス,ケムコ（コトブキシステム） / ズーム / Kemco / Zoom,SHVC-PH / SNS-PH,1992-08-07 / 1993-10-01,Shooter / Horizontal
Shodai Nekketsu Kouha Kunio-kun,初代 熱血硬派くにおくん,テクノスジャパン / Technos Japan,SHVC-KN,1992-08-07,Action
Pipe Dream,パイプドリーム,ビー・ピー・エス / Bullet-Proof Software / Entertainment International UK,SHVC-PP,1992-08-07,Puzzle
Home Alone,ホーム・アローン,アルトロン / Altron / Imagineering,SHVC-HA / SNS-HA,1992-08-11 / 1991-12-01,Action / Side Scrolling
Kinnikuman - Dirty Challenger,キン肉マン ダーティー・チャレンジャー,"バンダイ, ユタカ / Bandai, Yutaka",SHVC-KI,1992-08-21,Sports / Wrestling
Super Mahjong,スーパーま〜じゃん (SUPER 麻雀),アイマックス / I'MAX,SHVC-SM,1992-08-22,Table Game / Mahjong
Super Mario Kart,スーパーマリオカート,任天堂 / Nintendo,SHVC-MK / SNS-MK,1992-08-27 / 1992-09-01,Sports / Racing (競馬)
CB Chara Wars - Ushinawareta Gag,CBキャラウォーズ 失われたギャ〜グ,バンプレスト / アルマニック / Banpresto / Almanic,SHVC-CV,1992-08-28,Action / Beat 'em Up
Ultra Baseball Jitsumei Han,ウルトラベースボール 実名版,カルチャーブレーン （マイクロアカデミー） / Culture Brain (Micro Academy),SHVC-U2,1992-08-28,Sports / Baseball
Acrobat Mission,アクロバットミッション,テイチク / ユー・ピー・エル / Teichiku / UPL,SHVC-2T,1992-09-11,Shooter / Vertical
Super Mahjong Taikai,スーパー麻雀大会,光栄 / Koei,SHVC-IQ,1992-09-12,Table Game / Mahjong
SD Kidou Senshi Gundam - V Sakusen Shidou,SD機動戦士ガンダム V作戦始動,エンジェル / バンダイ / Angel / Bandai,SHVC-GM,1992-09-12,Action
Super Gachapon World - SD Gundam X,スーパーガチャポンワールド SDガンダムX,"バンダイ, ユタカ / Bandai, Yutaka",SHVC-GX,1992-09-18,Strategy
New 3D Golf Simulation - Waialae no Kiseki,ワイアラエの奇蹟,ティーアンドイーソフト / T&E Soft,SHVC-GC,1992-09-18,Sports / Golf
Teitoku no Ketsudan,提督の決断,光栄 / Koei,SHVC-TK,1992-09-24,Strategy
Gambler Jiko Chuushinha - Mahjong Kouisen,ぎゅわんぶらあ自己中心派 麻雀皇位戦,パルソフト（エスエムエス） / パック・イン・ビデオ / ゲームアーツ / イエローホーン / Palsoft / Pack-in-Video / Gamearts / Yellow Horn,SHVC-GJ,1992-09-25,Table Game / Mahjong
Sonic Blast Man,ソニックブラストマン,タイトー / ディスコ / Taito / Disco,SHVC-SK / SNS-SK,1992-09-25 / 1993-02-01,Action / Beat 'em Up
Ginga Eiyuu Densetsu - Senjutsu Simulation,銀河英雄伝説,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / Tokuma Japan Communications / Tokuma Shoten Intermedia,SHVC-GE,1992-09-25,Strategy
Dai Senryaku Expert,大戦略エキスパート,アスキー / システムソフト / ASCII / System Soft,SHVC-GS,1992-09-25,Strategy
Dragon Quest V - Tenkuu no Hanayome,ドラゴンクエストV 天空の花嫁,エニックス / チュンソフト / Enix / Chun Soft,SHVC-D5,1992-09-27,RPG / Turn Based
Sky Mission,スカイミッション,ナムコ / ナムコット / Namco / Namcot,SHVC-SI,1992-09-29,Shooter / Behind
Lord Monarch,ロードモナーク,エポック社 / 日本ファルコム / Epoch / Falcom,SHVC-LM,1992-10-09,Strategy
Return of Double Dragon,リターン・オブ・双截龍 （ダブルドラゴン）,テクノスジャパン / Technos Japan,SHVC-WD,1992-10-16,Action / Beat 'em Up
Super Royal Blood,スーパーロイヤルブラッド,光栄 / Koei,SHVC-IU,1992-10-22,Strategy
The Addams Family,アダムス・ファミリー,ミサワエンターテインメント / Misawa Entertainment,SHVC-AF / SNS-AF,1992-10-23 / 1992-01-01,Platform / Side Scrolling
Super F1 Circus Limited,スーパーエフワンサーカスリミテッド,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-FD,1992-10-23,Sports / Formula Racing (競馬)
Cosmo Gang - The Video,コズモギャング ザ ビデオ,ナムコ / ナムコット / Namco / Namcot,SHVC-CA,1992-10-29,Shooter
Shin Megami Tensei,真・女神転生,アトラス / Atlus,SHVC-ME,1992-10-30,RPG
